delta subtype	date
B.1.617.2-d	24/06/2021
B.1.617.2-a	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	25/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	NA
B.1.617.2-d	25/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	25/06/2021
B.1.617.2-d	25/06/2021
B.1.617.2-d	25/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	25/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-b	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-c	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-b	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-b	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-a	27/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
NA	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	25/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	25/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	27/06/2021
B.1.617.2-d	26/06/2021
B.1.617.2-d	14/06/2021
B.1.617.2-d	14/06/2021
B.1.617.2-d	14/06/2021
B.1.617.2-d	14/06/2021
B.1.617.2-d	15/06/2021
B.1.617.2-d	15/06/2021
B.1.617.2-d	15/06/2021
B.1.617.2-d	15/06/2021
B.1.617.2-d	15/06/2021
B.1.617.2-d	14/06/2021
B.1.617.2-c	15/06/2021
B.1.617.2-d	16/06/2021
B.1.617.2-d	16/06/2021
B.1.617.2-c	15/06/2021
B.1.617.2-a	15/06/2021
B.1.617.2-d	15/06/2021
B.1.617.2-d	08/06/2021
B.1.617.2-d	08/06/2021
B.1.617.2-d	08/06/2021
B.1.617.2-d	10/06/2021
B.1.617.2-d	15/06/2021
B.1.617.2-d	15/06/2021
B.1.617.2-d	15/06/2021
B.1.617.2-d	15/06/2021
B.1.617.2-b	16/06/2021
B.1.617.2-d	16/06/2021
B.1.617.2-d	16/06/2021
